# Phase 28 E5 certification matrix. GENERATED by wcore_eval_scenarios::e5_matrix — do not edit.
# Nine F28-01 dimensions x three OS families x the surfaces resolved from the candidate.
# Validated by: f28-ledger.py --check-matrix and --check-no-uncontrolled-skips
# max_surface_depth=1 cells=651
#cell_id	dimension	os	surface	criticality	applicability	skip_class	skip_evidence	activeness
long-paths-linux-workflow	long-paths	linux	cmd:workflow	standard	applicable	-	-	n/a
long-paths-macos-acp	long-paths	macos	cmd:acp	standard	applicable	-	-	n/a
long-paths-macos-agent	long-paths	macos	cmd:agent	standard	applicable	-	-	n/a
long-paths-macos-auth	long-paths	macos	cmd:auth	standard	applicable	-	-	n/a
long-paths-macos-backend	long-paths	macos	cmd:backend	standard	applicable	-	-	n/a
long-paths-macos-backup	long-paths	macos	cmd:backup	standard	applicable	-	-	n/a
long-paths-macos-cron	long-paths	macos	cmd:cron	standard	applicable	-	-	n/a
long-paths-macos-crucible	long-paths	macos	cmd:crucible	standard	applicable	-	-	n/a
long-paths-macos-fetch	long-paths	macos	cmd:fetch	standard	applicable	-	-	n/a
long-paths-macos-forge	long-paths	macos	cmd:forge	standard	applicable	-	-	n/a
long-paths-macos-gateway	long-paths	macos	cmd:gateway	standard	applicable	-	-	n/a
long-paths-macos-image	long-paths	macos	cmd:image	standard	applicable	-	-	n/a
long-paths-macos-init	long-paths	macos	cmd:init	standard	applicable	-	-	n/a
long-paths-macos-mcp-serve	long-paths	macos	cmd:mcp-serve	standard	applicable	-	-	n/a
long-paths-macos-migrate	long-paths	macos	cmd:migrate	standard	applicable	-	-	n/a
long-paths-macos-models	long-paths	macos	cmd:models	standard	applicable	-	-	n/a
long-paths-macos-node	long-paths	macos	cmd:node	standard	applicable	-	-	n/a
long-paths-macos-plugin	long-paths	macos	cmd:plugin	standard	applicable	-	-	n/a
long-paths-macos-profile	long-paths	macos	cmd:profile	standard	applicable	-	-	n/a
long-paths-macos-project-context	long-paths	macos	cmd:project-context	standard	applicable	-	-	n/a
long-paths-macos-self-update	long-paths	macos	cmd:self-update	standard	applicable	-	-	n/a
long-paths-macos-session	long-paths	macos	cmd:session	standard	applicable	-	-	n/a
long-paths-macos-setup	long-paths	macos	cmd:setup	standard	applicable	-	-	n/a
long-paths-macos-swarm	long-paths	macos	cmd:swarm	standard	applicable	-	-	n/a
long-paths-macos-workflow	long-paths	macos	cmd:workflow	standard	applicable	-	-	n/a
long-paths-windows-acp	long-paths	windows	cmd:acp	standard	applicable	-	-	n/a
long-paths-windows-agent	long-paths	windows	cmd:agent	standard	applicable	-	-	n/a
long-paths-windows-auth	long-paths	windows	cmd:auth	standard	applicable	-	-	n/a
long-paths-windows-backend	long-paths	windows	cmd:backend	standard	applicable	-	-	n/a
long-paths-windows-backup	long-paths	windows	cmd:backup	standard	applicable	-	-	n/a
long-paths-windows-cron	long-paths	windows	cmd:cron	standard	applicable	-	-	n/a
long-paths-windows-crucible	long-paths	windows	cmd:crucible	standard	applicable	-	-	n/a
long-paths-windows-fetch	long-paths	windows	cmd:fetch	standard	applicable	-	-	n/a
long-paths-windows-forge	long-paths	windows	cmd:forge	standard	applicable	-	-	n/a
long-paths-windows-gateway	long-paths	windows	cmd:gateway	standard	applicable	-	-	n/a
long-paths-windows-image	long-paths	windows	cmd:image	standard	applicable	-	-	n/a
long-paths-windows-init	long-paths	windows	cmd:init	standard	applicable	-	-	n/a
long-paths-windows-mcp-serve	long-paths	windows	cmd:mcp-serve	standard	applicable	-	-	n/a
long-paths-windows-migrate	long-paths	windows	cmd:migrate	standard	applicable	-	-	n/a
long-paths-windows-models	long-paths	windows	cmd:models	standard	applicable	-	-	n/a
long-paths-windows-node	long-paths	windows	cmd:node	standard	applicable	-	-	n/a
long-paths-windows-plugin	long-paths	windows	cmd:plugin	standard	applicable	-	-	n/a
long-paths-windows-profile	long-paths	windows	cmd:profile	standard	applicable	-	-	n/a
long-paths-windows-project-context	long-paths	windows	cmd:project-context	standard	applicable	-	-	n/a
long-paths-windows-self-update	long-paths	windows	cmd:self-update	standard	applicable	-	-	n/a
long-paths-windows-session	long-paths	windows	cmd:session	standard	applicable	-	-	n/a
long-paths-windows-setup	long-paths	windows	cmd:setup	standard	applicable	-	-	n/a
long-paths-windows-swarm	long-paths	windows	cmd:swarm	standard	applicable	-	-	n/a
long-paths-windows-workflow	long-paths	windows	cmd:workflow	standard	applicable	-	-	n/a
